,Accuracy,ROC AUC,Time (s)
Standard Pipeline_Logistic Regression,0.49902439024390244,0.500101544872406,175.3465690612793
Standard Pipeline_Random Forest,0.5491463414634147,0.5154983171854641,478.83241629600525
Standard Pipeline_Gradient Boosting,0.5580487804878049,0.524383679727969,942.0120968818665
Standard Pipeline_XGBoost,0.5576829268292683,0.5225192513188419,27.850240468978882
Standard Pipeline_LightGBM,0.5423170731707317,0.5284838332618299,35.91819739341736
Pipeline with SMOTE_Logistic Regression,0.49914634146341463,0.5023854355356405,226.53038144111633
Pipeline with SMOTE_Random Forest,0.5348780487804878,0.5151819515285855,1239.675534248352
Pipeline with SMOTE_Gradient Boosting,0.5514634146341464,0.5277330467235517,2669.9886400699615
Pipeline with SMOTE_XGBoost,0.534390243902439,0.5153889826544475,38.91531419754028
Pipeline with SMOTE_LightGBM,0.5392682926829269,0.5086822107286999,47.499593019485474
